epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,130.63,1.31308,0.79576,0.99735,0.56191,0.00033033,0.00033033,0.00033033
2,355.298,0.70445,0.80106,1,0.53223,0.000637383,0.000637383,0.000637383
3,605.342,0.63675,0.86207,0.99735,0.45376,0.000918035,0.000918035,0.000918035
4,767.495,0.557,0.83289,1,0.4348,0.0008812,0.0008812,0.0008812
5,953.826,0.52954,0.85942,1,0.43764,0.0008416,0.0008416,0.0008416
6,1148.73,0.50819,0.88594,1,0.36971,0.000802,0.000802,0.000802
7,1311.77,0.40127,0.8992,1,0.31576,0.0007624,0.0007624,0.0007624
8,1557.83,0.38521,0.87003,1,0.36545,0.0007228,0.0007228,0.0007228
9,1778.87,0.33897,0.87533,0.99735,0.40114,0.0006832,0.0006832,0.0006832
10,1956.68,0.31245,0.87268,1,0.35475,0.0006436,0.0006436,0.0006436
11,2133.47,0.29526,0.92308,1,0.25824,0.000604,0.000604,0.000604
12,2266.06,0.28357,0.91512,0.99735,0.27046,0.0005644,0.0005644,0.0005644
13,2379.84,0.2618,0.91247,1,0.25696,0.0005248,0.0005248,0.0005248
14,2490.14,0.24529,0.92042,1,0.3098,0.0004852,0.0004852,0.0004852
15,2605.68,0.19689,0.92042,1,0.24306,0.0004456,0.0004456,0.0004456
