epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,240.663,1.31225,0.7878,0.99204,0.58304,0.00033033,0.00033033,0.00033033
2,491.952,0.75218,0.86207,1,0.38279,0.000597961,0.000597961,0.000597961
3,653.684,0.58517,0.83554,1,0.50102,0.000799592,0.000799592,0.000799592
4,841.816,0.58212,0.87533,1,0.34568,0.000703,0.000703,0.000703
5,1034.15,0.45661,0.90451,0.99735,0.27288,0.000604,0.000604,0.000604
6,1200.75,0.3855,0.89655,0.99735,0.30718,0.000505,0.000505,0.000505
7,1448.55,0.3205,0.89125,1,0.34585,0.000406,0.000406,0.000406
8,1669.53,0.27144,0.89655,1,0.33528,0.000307,0.000307,0.000307
9,1846.32,0.22185,0.91777,1,0.27466,0.000208,0.000208,0.000208
10,2024.22,0.20897,0.91777,1,0.24372,0.000109,0.000109,0.000109
